Id,Sales
1,7769.0
2,6696.0
3,9359.0
4,6682.0
5,7643.0
6,6810.0
7,6873.0
8,7092.0
9,6734.0
10,6648.0
11,7232.0
12,7397.0
13,6769.0
14,6987.0
15,7097.0
16,6267.0
17,7237.0
18,6580.0
19,8027.0
20,7542.0
21,8216.0
22,7555.0
23,8016.0
24,6273.0
25,8244.0
26,7323.0
27,7496.0
28,8037.0
29,7183.0
30,7312.0
31,7879.0
32,8666.0
33,6462.0
34,7711.0
35,7024.0
36,8745.0
37,7436.0
38,8433.0
39,7181.0
40,7124.0
41,7954.0
42,7411.0
43,7352.0
44,6890.0
45,8563.0
46,7136.0
47,7159.0
48,8433.0
49,6897.0
50,10001.0
51,8750.0
52,7673.0
53,7547.0
54,7248.0
55,6424.0
56,7925.0
57,8415.0
58,8577.0
59,8827.0
60,7809.0
61,6905.0
62,7509.0
63,6537.0
64,8187.0
65,7036.0
66,7707.0
67,6647.0
68,6492.0
69,8400.0
70,6853.0
71,7046.0
72,7128.0
73,8190.0
74,7662.0
75,7488.0
76,8022.0
77,7640.0
78,7380.0
79,6836.0
80,7220.0
81,8329.0
82,7499.0
83,7898.0
84,7433.0
85,7289.0
86,8485.0
87,7422.0
88,6925.0
89,8058.0
90,7893.0
91,7055.0
92,8653.0
93,7603.0
94,6875.0
95,7263.0
96,7774.0
97,6523.0
98,6627.0
99,7713.0
100,7838.0
101,6782.0
102,7114.0
103,6698.0
104,6799.0
105,7401.0
106,7698.0
107,7680.0
108,7606.0
109,8259.0
110,7305.0
111,7413.0
112,7957.0
113,7115.0
114,7920.0
115,7338.0
116,7034.0
117,8264.0
118,7019.0
119,7666.0
120,7494.0
121,7652.0
122,8162.0
123,7771.0
124,7526.0
125,6766.0
126,6387.0
127,9177.0
128,7226.0
129,7022.0
130,6644.0
131,7194.0
132,7562.0
133,6684.0
134,7278.0
135,6972.0
136,9508.0
137,7435.0
138,6816.0
139,8010.0
140,7143.0
141,8181.0
142,7316.0
143,8515.0
144,6848.0
145,7488.0
146,6768.0
147,6705.0
148,7796.0
149,7391.0
150,7911.0
151,10753.0
152,7370.0
153,7284.0
154,7451.0
155,7740.0
156,7980.0
157,6448.0
158,8843.0
159,7094.0
160,7071.0
161,7080.0
162,7967.0
163,7538.0
164,7017.0
165,7187.0
166,7260.0
167,7547.0
168,6817.0
169,7579.0
170,7655.0
171,7940.0
172,7422.0
173,8080.0
174,7341.0
175,7469.0
176,8100.0
177,7886.0
178,7380.0
179,7448.0
180,7435.0
181,6696.0
182,7363.0
183,8631.0
184,8785.0
185,6937.0
186,7382.0
187,6790.0
188,8686.0
189,7422.0
190,8536.0
191,9110.0
192,8242.0
193,7032.0
194,10874.0
195,8248.0
196,9372.0
197,7056.0
198,7377.0
199,8950.0
200,6641.0
201,9995.0
202,8253.0
203,7752.0
204,6533.0
205,7872.0
206,7217.0
207,10004.0
208,7111.0
209,7558.0
